,y_test,y_pred
8897,295522,288461.3075606128
11515,65725,71299.83333333333
6800,206198,222917.20937087937
8440,70790,69715.27293353919
1486,505028,479494.45125737693
4008,193782,203863.60604732827
2180,128762,169758.1669142366
3298,395920,382784.82313202077
2031,689918,651138.3416666667
5624,439120,428999.1647883598
8598,233543,239490.7035571629
13426,172818,181196.04563492065
9268,309114,350716.45025922154
9989,119428,123157.7811965812
9552,429430,435651.6
2174,120921,132680.86441554868
6370,109637,105583.20531107462
8072,593230,530474.0704184704
8125,651995,625688.9163173246
12449,212692,213629.58333333334
7849,117604,107841.53194444443
3921,78522,82782.21048174196
9126,152343,150738.18222370866
2333,243100,238217.73499497233
6382,120470,113215.702994228
2472,153334,137110.08749247176
4287,157833,151768.97265843168
8674,307545,440768.772072072
588,301114,295213.7092592593
3473,308203,305257.52538702654
6227,318089,308369.172719024
10227,560818,566337.0333333333
857,517408,456237.01329365076
10447,263628,266594.5368975469
13093,201839,204319.35555555552
9582,568399,574429.1666666666
4462,387555,441857.6679328304
6947,82609,89842.83787749289
13256,53309,53084.39305555555
3888,751824,686894.6312404836
12772,200336,198956.45873015875
10477,347994,314878.06666666665
11386,141654,140363.53055555554
12330,292886,292266.2194444444
3447,229982,227391.5621221001
12725,131743,129714.43282581453
5379,392697,396479.8329189505
10869,45704,46177.4
6842,247602,247827.44230374863
6296,495344,483684.356017465
6119,215958,207827.43027777778
12101,79917,81216.16666666667
5513,248584,244293.34203703704
8946,289175,281927.29252734914
4445,327432,323843.2202020202
1915,332300,355389.1578545528
8364,397814,435034.25326402753
4729,219794,222476.54454832466
1020,183939,186020.42163817663
1175,339808,336924.66228248295
13497,216676,214565.9
7726,259445,262488.7561736612
11543,108677,110118.385
9321,438951,437742.9147280522
5286,262571,253179.9134199879
8720,377480,386604.5545910689
4412,296317,294480.3041495707
2420,80214,80002.11584052007
3120,175889,188938.37978897168
8445,70205,71559.85123105516
2462,126198,115436.36416381953
12162,175716,163011.87195767194
10758,115161,116631.02560545938
8135,65763,68965.56012887796
3585,504455,550150.6147343979
13198,226855,223815.1
8709,377963,381577.5834907803
12182,185328,186553.86666666667
10059,253301,251301.925
12220,180570,187748.26893025273
9227,217838,222514.70107581894
6748,188192,195212.43614718615
830,398384,428205.25833333336
10689,137655,141099.46666666667
2933,255051,253931.7291912972
6130,233924,224070.6
10077,288587,278852.6
10565,42574,42486.566666666666
61,174152,209017.7484848485
7433,210485,216664.65088191902
8379,475937,465628.6313489015
3441,221698,227391.5621221001
1262,122663,114286.78850741415
833,414855,430823.5916666667
11480,50386,51409.26666666667
7243,55117,55058.08468253968
11395,145064,149951.775
8993,449287,449649.5820525729
13341,115879,108120.92694444445
1337,246055,254698.64583997877
13234,256812,256505.33333333334
818,362880,363295.88095238095
10747,116031,113754.52857142857
7369,205592,248046.66777777777
801,334216,342678.24659639876
4657,208243,274851.4586710447
3864,772832,581591.8052064179
4781,356744,375693.8563014617
12172,178969,176642.19388888887
10416,240970,253673.9514814815
8500,130589,135188.58159162747
7149,331119,325741.5127173631
10359,222732,212237.22222222222
2280,199415,205271.78913596566
1412,301924,300992.4098538012
2376,373122,430293.4218543939
1217,73084,76426.90342771927
2178,125773,130127.5392101209
9640,133370,133315.92833333334
9658,144137,146567.3
5772,266271,265797.5309195402
10858,43872,43734.38833333333
